,FI,gene_name
0,0.21268974,ENSG00000276168.1
1,0.13526449,ENSG00000263740.2
2,0.16772027,ENSG00000133048.13
3,0.18311639,ENSG00000265735.2
4,0.20672616,ENSG00000202058.1
5,0.12563701,ENSG00000198695.2
6,0.11997398,ENSG00000252010.1
7,0.104136266,ENSG00000198763.3
8,0.19180506,ENSG00000129824.16
9,0.20342876,ENSG00000200312.1
10,0.08848261,ENSG00000198899.2
11,0.09302537,ENSG00000012223.13
12,0.08981925,ENSG00000198888.2
13,0.12173884,ENSG00000201428.1
14,0.094962485,ENSG00000198886.2
15,0.1713272,ENSG00000184357.5
16,0.098160595,ENSG00000212232.1
17,0.093889594,ENSG00000168298.7
18,0.09668173,ENSG00000278771.1
19,0.11495787,ENSG00000229807.12
20,0.110990584,ENSG00000248527.1
21,0.28482568,ENSG00000228253.1
22,0.21120009,ENSG00000200087.1
23,0.12837528,ENSG00000200488.1
24,0.15775277,ENSG00000198840.2
25,0.0878928,ENSG00000286522.2
26,0.082220756,ENSG00000197061.5
27,0.12513795,ENSG00000133110.15
28,0.10719104,ENSG00000239899.3
29,0.19748634,ENSG00000198727.2
30,0.18861969,ENSG00000276966.2
31,0.16893671,ENSG00000212907.2
32,0.111046426,ENSG00000238741.1
33,0.13490279,ENSG00000277775.2
34,0.089000136,ENSG00000271394.1
35,0.12969759,ENSG00000012817.16
36,0.12546119,ENSG00000277157.2
37,0.09382672,ENSG00000202538.1
38,0.11841114,ENSG00000124575.7
39,0.18294348,ENSG00000067048.17
40,0.11508335,ENSG00000251791.1
41,0.16322961,ENSG00000114374.13
42,0.11262237,ENSG00000198786.2
43,0.13915494,ENSG00000201793.1
44,0.18599336,ENSG00000225630.1
45,0.14090419,ENSG00000198732.11
46,0.12779535,ENSG00000287080.2
47,0.20014647,ENSG00000104888.10
48,0.082555115,ENSG00000168542.16
49,0.12300129,ENSG00000184260.6
50,0.22046074,ENSG00000145423.5
51,0.09940533,ENSG00000278705.1
52,0.17273033,ENSG00000240869.3
53,0.10476822,ENSG00000276410.4
54,0.18914428,ENSG00000273983.1
55,0.1824955,ENSG00000168314.17
56,0.09864953,ENSG00000180596.7
57,0.13272335,ENSG00000275395.6
58,0.09587302,ENSG00000115457.10
59,0.13830286,ENSG00000198712.1
60,0.16194473,ENSG00000274997.2
61,0.10326452,ENSG00000277586.4
62,0.11568654,ENSG00000064886.14
63,0.26251665,ENSG00000108846.16
64,0.24315928,ENSG00000247627.2
65,0.13268048,ENSG00000100181.22
66,0.13858627,ENSG00000196787.3
67,0.078509815,ENSG00000200795.1
68,0.08602245,ENSG00000176884.16
69,0.30918816,ENSG00000231419.6
70,0.18559465,ENSG00000108821.14
71,0.14302905,ENSG00000166741.8
72,0.1347167,ENSG00000277075.2
73,0.23684587,ENSG00000145920.15
74,0.09431609,ENSG00000274641.2
75,0.1162554,ENSG00000239437.3
76,0.11288815,ENSG00000162493.16
77,0.1522314,ENSG00000102265.12
78,0.27752388,ENSG00000177575.13
79,0.11738699,ENSG00000164089.9
80,0.27965918,ENSG00000148798.11
81,0.120781995,ENSG00000079931.15
82,0.087978154,ENSG00000170091.11
83,0.21220851,ENSG00000131002.12
84,0.106841765,ENSG00000275713.2
85,0.115350105,ENSG00000105695.15
86,0.23849754,ENSG00000278637.2
87,0.10272634,ENSG00000144230.16
88,0.14744295,ENSG00000196747.4
89,0.07530315,ENSG00000197430.11
90,0.26441765,ENSG00000183878.15
91,0.112344034,ENSG00000263934.5
92,0.11712477,ENSG00000165246.14
93,0.09194179,ENSG00000154146.13
94,0.11121424,ENSG00000244642.3
95,0.18257642,ENSG00000252835.1
96,0.1969215,ENSG00000163359.16
97,0.10236995,ENSG00000278463.2
98,0.098997675,ENSG00000197971.16
99,0.09278142,ENSG00000278828.1
100,0.0790579,ENSG00000241529.3
101,0.17612773,ENSG00000163032.12
102,0.11539504,ENSG00000106366.9
103,0.12038814,ENSG00000274618.2
104,0.08660892,ENSG00000104722.14
105,0.1030874,ENSG00000070808.16
106,0.15873523,ENSG00000275620.1
107,0.14717363,ENSG00000124507.11
108,0.27673638,ENSG00000124491.16
109,0.10773857,ENSG00000119283.15
110,0.086251356,ENSG00000197714.9
111,0.21167813,ENSG00000198692.10
112,0.08702076,ENSG00000124635.9
113,0.08956816,ENSG00000106511.6
114,0.09464353,ENSG00000090932.11
115,0.15674128,ENSG00000275714.2
116,0.16120066,ENSG00000169429.11
117,0.24238287,ENSG00000187837.4
118,0.22451448,ENSG00000134668.12
119,0.110251255,ENSG00000273802.2
120,0.08912557,ENSG00000104435.14
121,0.11888091,ENSG00000187398.12
122,0.11587813,ENSG00000204655.12
123,0.103086844,ENSG00000278588.2
124,0.11537396,ENSG00000265078.2
125,0.4105524,ENSG00000141469.18
126,0.1749833,ENSG00000119973.6
127,0.11897225,ENSG00000201901.1
128,0.2622569,ENSG00000137801.11
129,0.11566901,ENSG00000286214.1
130,0.14205055,ENSG00000201098.1
131,0.09430252,ENSG00000130600.19
132,0.27773166,ENSG00000266019.1
133,0.09510916,ENSG00000113327.17
134,0.14009742,ENSG00000187498.16
135,0.11625088,ENSG00000144278.15
136,0.09831845,ENSG00000200243.1
137,0.12691002,ENSG00000100604.13
138,0.122985296,ENSG00000116147.17
139,0.12530576,ENSG00000144810.16
140,0.14289609,ENSG00000275379.2
141,0.108287595,ENSG00000150275.19
142,0.1735869,ENSG00000134184.13
143,0.24520606,ENSG00000276281.1
144,0.13168871,ENSG00000163285.8
145,0.15482748,ENSG00000166897.16
146,0.09108199,ENSG00000006611.17
147,0.15024805,ENSG00000100985.7
148,0.11659487,ENSG00000203814.6
149,0.13081338,ENSG00000172987.13
150,0.1779538,ENSG00000105251.11
151,0.14000754,ENSG00000211896.7
152,0.14266331,ENSG00000170439.7
153,0.09821463,ENSG00000275126.2
154,0.13906962,ENSG00000022355.18
155,0.24075165,ENSG00000067715.14
156,0.26961443,ENSG00000181722.17
157,0.101935275,ENSG00000183598.4
158,0.08609397,ENSG00000276368.2
159,0.07891768,ENSG00000184270.6
160,0.08399743,ENSG00000198910.14
161,0.29301068,ENSG00000101203.16
162,0.14019065,ENSG00000132639.13
163,0.107927434,ENSG00000106018.14
164,0.09233469,ENSG00000173432.12
165,0.13044165,ENSG00000074317.11
166,0.115073055,ENSG00000136541.15
167,0.099356934,ENSG00000008056.14
168,0.25398672,ENSG00000275014.1
169,0.18205728,ENSG00000065609.14
170,0.099736765,ENSG00000184557.4
171,0.09907354,ENSG00000197153.5
172,0.108098656,ENSG00000154975.14
173,0.1084374,ENSG00000164692.18
174,0.19169067,ENSG00000202512.1
175,0.10071269,ENSG00000185518.12
176,0.16401558,ENSG00000122176.12
177,0.24472325,ENSG00000067646.12
178,0.1074251,ENSG00000135046.14
179,0.09547308,ENSG00000183166.11
180,0.20371279,ENSG00000254139.1
181,0.13936396,ENSG00000240583.13
182,0.31618965,ENSG00000130635.16
183,0.14080082,ENSG00000188011.5
184,0.110411875,ENSG00000095713.14
185,0.27031833,ENSG00000142173.16
186,0.113237545,ENSG00000089199.10
187,0.092088915,ENSG00000166111.10
188,0.102432445,ENSG00000251562.8
189,0.16403355,ENSG00000210082.2
190,0.12148594,ENSG00000185130.5
191,0.2426162,ENSG00000188257.12
192,0.15157498,ENSG00000153820.13
193,0.1219624,ENSG00000240474.3
194,0.23611961,ENSG00000263426.2
195,0.12913759,ENSG00000196990.9
