"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_AEROBIC_RESPIRATION",0.000105999576001696,0.00767207260540148,0.794173031338075,2.57174027915885,0,19,"MTCO2P12;MT-ND6;MT-CYB;MT-ND5;MT-ATP6;MT-ND3;MT-ND4L;MT-ND1;MT-CO1;MT-ND4;MT-CO3;MT-CO2;MT-ATP8;MT-ND2"
"GOBP_ATP_METABOLIC_PROCESS",0.000106837606837607,0.00767207260540148,0.707783407990363,2.25968663898828,0,18,"MT-ND6;MT-ND5;MT-ATP6;MT-ND3;MT-ND4L;MT-ND1;MT-ND4;ZBTB20;MT-ATP8;MT-ND2"
"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",0.000108802089000109,0.00767207260540148,0.807965901854887,2.47484928350499,0,15,"MTCO2P12;MT-ND6;MT-CYB;MT-ND5;MT-ND3;MT-ND4L;MT-ND1;MT-CO1;MT-ND4;MT-CO3;MT-CO2;MT-ND2"
"GOBP_CELL_CYCLE_PROCESS",9.99900009999e-05,0.00767207260540148,0.425337747291198,1.76395589951859,0,110,"AURKB;CENPA;CCNA2;DLGAP5;NCAPH;CDKN2A;MME;FAM83D;CYP27B1;ORC1;CDCA8;KIF4A;BUB1;CCNB2;RRM2;NEK2;CDKN2C;HJURP;KNL1;MN1;BIRC5;TTN;CENPF;KIF20A;MKI67;DTL;INSM1;TOP2A;UBE2C;CDCA2;GLI1;KIF14;SERPINE1;CDC45;SFRP1;CDKN2B;CDC25C;TPX2;CDK5R1;PTTG1;SKA1;TOM1L1;CCNB1;KIF18A;SMPD3;MELK;SPRY1;MYBL2;EDN3;CDK1;CENPK;CCL2;TTK;GPNMB;PRKCB;NCAPG;IL1B;CAMSAP3;CEP55;KCNH5;ESCO2;KIF23;SPC24"
"GOBP_CELLULAR_RESPIRATION",0.000104558762024258,0.00767207260540148,0.773375624573901,2.57954705493537,0,22,"MTCO2P12;MT-ND6;MT-CYB;MT-ND5;MT-ATP6;OAS1;MT-ND3;MT-ND4L;MT-ND1;MT-CO1;MT-ND4;MT-CO3;MT-CO2;MT-ATP8;MT-ND2"
"GOBP_CHROMATIN_ORGANIZATION",0.000100563153660499,0.00767207260540148,0.560635565289898,2.12002696877183,0,46,"H2BC4;HMGN5;H3C10;H4C5;H2AC6;H2BC11;H2BC8;CDKN2B-AS1;CENPA;FIRRE;H4C8;TCF7L1;H2BC6;H2AC11;BUB1;MALAT1;EYA1;HJURP;MKI67;H1-2;TOP2A"
"GOBP_CHROMATIN_REMODELING",0.000101739749720216,0.00767207260540148,0.575037621401737,2.07585725065024,0,34,"H2BC4;H3C10;H4C5;H2AC6;H2BC11;H2BC8;CDKN2B-AS1;CENPA;H4C8;H2BC6;H2AC11;BUB1;EYA1;HJURP"
"GOBP_CHROMOSOME_ORGANIZATION",0.000100492412822832,0.00767207260540148,0.524010277595459,1.98745473489866,0,47,"H3C10;H4C5;AURKB;CENPA;DLGAP5;NCAPH;H4C8;CDCA8;KIF4A;BUB1;NEK2;HJURP;KNL1;BIRC5;EXO1;TTN;CENPF;H1-2;TOP2A;UBE2C;KIF14;TPX2;PTTG1;SKA1;CCNB1;KIF18A;MYBL2;CDK1;CENPK;TTK;NCAPG;CEP55;ESCO2;KIF23;SPC24"
"GOBP_CHROMOSOME_SEGREGATION",0.000100573267625465,0.00767207260540148,0.510969924840232,1.92791656039095,0,45,"AURKB;DLGAP5;NCAPH;FAM83D;CDCA8;KIF4A;BUB1;CCNB2;NEK2;HJURP;KNL1;BIRC5;TTN;CENPF;MKI67;TOP2A;UBE2C;CDCA2;KIF14;TPX2;PTTG1;SKA1;CCNB1;KIF18A;MYBL2;CDK1;CENPK;TTK;NCAPG;CEP55;ESCO2;KIF23;SPC24"
"GOBP_ELECTRON_TRANSPORT_CHAIN",0.000107480653482373,0.00767207260540148,0.759810186811052,2.39508815661289,0,17,"MTCO2P12;MT-ND6;MT-CYB;MT-ND5;MT-ND3;MT-ND4L;MT-ND1;MT-CO1;MT-ND4;MT-CO3;MT-CO2;MT-ND2"
