feature,mean_abs_ig,std_abs_ig,ensembl,gene_name,label
ENSG00000253846.2,0.0017465822,0.0028414323,ENSG00000253846,PCDHGA10,PCDHGA10
ENSG00000287939.1,0.0015292441,0.0027775418,ENSG00000287939,AL096709.1,AL096709.1
ENSG00000258986.7,0.0013034559,0.0023201515,ENSG00000258986,TMEM179,TMEM179
ENSG00000214389.2,0.0012559827,0.0025112848,ENSG00000214389,RPS3AP26,RPS3AP26
ENSG00000137203.15,0.0012134172,0.0021748606,ENSG00000137203,TFAP2A,TFAP2A
ENSG00000197582.5,0.001206581,0.001654633,ENSG00000197582,GPX1P1,GPX1P1
ENSG00000234009.1,0.0011621455,0.002125,ENSG00000234009,RPL5P34,RPL5P34
ENSG00000225178.5,0.0011511913,0.0025003296,ENSG00000225178,RPSAP58,RPSAP58
ENSG00000253910.2,0.0010965524,0.0017533595,ENSG00000253910,PCDHGB2,PCDHGB2
ENSG00000206557.6,0.0010915165,0.0019032246,ENSG00000206557,TRIM71,TRIM71
ENSG00000235587.2,0.0010897155,0.0029077933,ENSG00000235587,GAPDHP65,GAPDHP65
ENSG00000196205.8,0.0010867389,0.0024437022,ENSG00000196205,EEF1A1P5,EEF1A1P5
ENSG00000230897.1,0.0010735837,0.0018403415,ENSG00000230897,RPS18P12,RPS18P12
ENSG00000197415.12,0.0010650506,0.001657089,ENSG00000197415,VEPH1,VEPH1
ENSG00000253537.3,0.0010571742,0.002096454,ENSG00000253537,PCDHGA7,PCDHGA7
ENSG00000229344.1,0.0010439788,0.0024192517,ENSG00000229344,MTCO2P12,MTCO2P12
ENSG00000231419.6,0.0010325519,0.0018835764,ENSG00000231419,LINC00689,LINC00689
ENSG00000122877.16,0.0010149775,0.0019275217,ENSG00000122877,EGR2,EGR2
ENSG00000143867.7,0.001012808,0.0015563668,ENSG00000143867,OSR1,OSR1
ENSG00000235655.3,0.0010091574,0.0015723349,ENSG00000235655,H3P6,H3P6
ENSG00000213553.4,0.0010088531,0.002433554,ENSG00000213553,RPLP0P6,RPLP0P6
ENSG00000034239.11,0.0009912888,0.0017875757,ENSG00000034239,EFCAB1,EFCAB1
ENSG00000129824.16,0.0009900819,0.0013291345,ENSG00000129824,RPS4Y1,RPS4Y1
ENSG00000241945.8,0.0009786835,0.0014460855,ENSG00000241945,PWP2,PWP2
ENSG00000163864.17,0.0009773774,0.0014571218,ENSG00000163864,NMNAT3,NMNAT3
ENSG00000234782.3,0.0009727054,0.0018324254,ENSG00000234782,TPT1P9,TPT1P9
ENSG00000234797.5,0.0009318845,0.0018782894,ENSG00000234797,RPS3AP6,RPS3AP6
ENSG00000262902.1,0.0009248877,0.0050010183,ENSG00000262902,MTCO1P40,MTCO1P40
ENSG00000112164.6,0.00092168164,0.0016597892,ENSG00000112164,GLP1R,GLP1R
ENSG00000125845.7,0.0009152968,0.0010485939,ENSG00000125845,BMP2,BMP2
ENSG00000153993.13,0.0009149913,0.0013697858,ENSG00000153993,SEMA3D,SEMA3D
ENSG00000228232.1,0.0009136655,0.0016376213,ENSG00000228232,GAPDHP1,GAPDHP1
ENSG00000287550.1,0.0009115978,0.0013546998,ENSG00000287550,AL450345.2,AL450345.2
ENSG00000249859.12,0.0009101864,0.0013025402,ENSG00000249859,PVT1,PVT1
ENSG00000268362.6,0.0009055476,0.0012220725,ENSG00000268362,AC092279.1,AC092279.1
ENSG00000240087.3,0.0009032153,0.0022222488,ENSG00000240087,RPSAP12,RPSAP12
ENSG00000134121.10,0.00090156787,0.0015393884,ENSG00000134121,CHL1,CHL1
ENSG00000146674.15,0.0008962125,0.0016620648,ENSG00000146674,IGFBP3,IGFBP3
ENSG00000157766.19,0.00088799535,0.0013980112,ENSG00000157766,ACAN,ACAN
ENSG00000174226.9,0.0008736013,0.0014398042,ENSG00000174226,SNX31,SNX31
ENSG00000226608.3,0.0008720085,0.0013602,ENSG00000226608,FTLP3,FTLP3
ENSG00000235363.1,0.00086804037,0.0019814887,ENSG00000235363,SNRPGP10,SNRPGP10
ENSG00000165246.14,0.00086547236,0.0012598862,ENSG00000165246,NLGN4Y,NLGN4Y
ENSG00000234648.1,0.00086397585,0.0011327429,ENSG00000234648,AL162151.2,AL162151.2
ENSG00000101958.14,0.0008638889,0.0013332035,ENSG00000101958,GLRA2,GLRA2
ENSG00000198353.8,0.0008592133,0.0011976231,ENSG00000198353,HOXC4,HOXC4
ENSG00000245205.3,0.0008551993,0.0020261304,ENSG00000245205,EEF1A1P4,EEF1A1P4
ENSG00000113205.5,0.00084616727,0.00128387,ENSG00000113205,PCDHB3,PCDHB3
ENSG00000163395.17,0.00083818275,0.0013549967,ENSG00000163395,IGFN1,IGFN1
ENSG00000165349.12,0.00083712366,0.0013053999,ENSG00000165349,SLC7A3,SLC7A3
ENSG00000250144.1,0.00083276065,0.0017244021,ENSG00000250144,AC104619.3,AC104619.3
ENSG00000283907.1,0.00083176774,0.0045950375,ENSG00000283907,AD000090.1,AD000090.1
ENSG00000237541.4,0.00083154714,0.0023540491,ENSG00000237541,HLA-DQA2,HLA-DQA2
ENSG00000234664.1,0.0008283286,0.0014957769,ENSG00000234664,HMGN2P5,HMGN2P5
ENSG00000285907.1,0.00082830084,0.0011915695,ENSG00000285907,AL161910.1,AL161910.1
ENSG00000124491.16,0.00082741684,0.0015107931,ENSG00000124491,F13A1,F13A1
ENSG00000228408.6,0.00082531094,0.0015849161,ENSG00000228408,AL031056.1,AL031056.1
ENSG00000154874.15,0.0008147571,0.0011880056,ENSG00000154874,CCDC144B,CCDC144B
ENSG00000123485.12,0.00081285596,0.0010853163,ENSG00000123485,HJURP,HJURP
ENSG00000166960.16,0.00081007415,0.0012998873,ENSG00000166960,CCDC178,CCDC178
ENSG00000128652.11,0.00080422265,0.0012222226,ENSG00000128652,HOXD3,HOXD3
ENSG00000072694.21,0.0008027121,0.0012980028,ENSG00000072694,FCGR2B,FCGR2B
ENSG00000168081.9,0.0007972889,0.0011639714,ENSG00000168081,PNOC,PNOC
ENSG00000121152.10,0.0007932783,0.0010313529,ENSG00000121152,NCAPH,NCAPH
ENSG00000151790.9,0.0007889445,0.0011858377,ENSG00000151790,TDO2,TDO2
ENSG00000109832.14,0.00078464154,0.0012361885,ENSG00000109832,DDX25,DDX25
ENSG00000128573.26,0.0007809842,0.001423394,ENSG00000128573,FOXP2,FOXP2
ENSG00000241644.2,0.0007782399,0.0014764236,ENSG00000241644,INMT,INMT
ENSG00000126778.12,0.00077760994,0.001150454,ENSG00000126778,SIX1,SIX1
ENSG00000234224.3,0.00077721325,0.00086181617,ENSG00000234224,TMEM229A,TMEM229A
ENSG00000261701.7,0.00077050144,0.0013509644,ENSG00000261701,HPR,HPR
ENSG00000165409.18,0.0007693241,0.0013743752,ENSG00000165409,TSHR,TSHR
ENSG00000183117.19,0.000766567,0.0011782738,ENSG00000183117,CSMD1,CSMD1
ENSG00000131747.15,0.0007607832,0.00090533344,ENSG00000131747,TOP2A,TOP2A
ENSG00000198157.11,0.00075981,0.001013494,ENSG00000198157,HMGN5,HMGN5
ENSG00000116745.7,0.0007598008,0.0010712467,ENSG00000116745,RPE65,RPE65
ENSG00000004468.13,0.00075906684,0.001146946,ENSG00000004468,CD38,CD38
ENSG00000170893.4,0.00075785024,0.0012984154,ENSG00000170893,TRH,TRH
ENSG00000101680.15,0.0007564753,0.001136449,ENSG00000101680,LAMA1,LAMA1
ENSG00000175879.9,0.0007523362,0.0011963758,ENSG00000175879,HOXD8,HOXD8
ENSG00000006128.12,0.0007487608,0.0012861802,ENSG00000006128,TAC1,TAC1
ENSG00000101327.9,0.00074863434,0.0014396664,ENSG00000101327,PDYN,PDYN
ENSG00000225706.2,0.0007449651,0.0010090584,ENSG00000225706,PTPRD-AS1,PTPRD-AS1
ENSG00000230076.1,0.0007437139,0.0010744861,ENSG00000230076,RPL10P6,RPL10P6
ENSG00000187653.11,0.0007426811,0.00091957126,ENSG00000187653,TMSB4XP8,TMSB4XP8
ENSG00000244734.4,0.00074236497,0.0016704614,ENSG00000244734,HBB,HBB
ENSG00000197444.10,0.00074167014,0.0011760275,ENSG00000197444,OGDHL,OGDHL
ENSG00000169297.8,0.00074158073,0.0013064571,ENSG00000169297,NR0B1,NR0B1
ENSG00000117594.10,0.00073800265,0.0025273205,ENSG00000117594,HSD11B1,HSD11B1
ENSG00000186675.7,0.0007353092,0.0011115841,ENSG00000186675,MAGEE2,MAGEE2
ENSG00000240583.13,0.0007343308,0.001113088,ENSG00000240583,AQP1,AQP1
ENSG00000277494.2,0.00073155167,0.0013746632,ENSG00000277494,GPIHBP1,GPIHBP1
ENSG00000223551.1,0.000731407,0.00087247643,ENSG00000223551,TMSB4XP4,TMSB4XP4
ENSG00000189223.15,0.0007266541,0.0013070297,ENSG00000189223,PAX8-AS1,PAX8-AS1
ENSG00000167858.13,0.000722947,0.0010704434,ENSG00000167858,TEKT1,TEKT1
ENSG00000123080.12,0.00072235963,0.00086230395,ENSG00000123080,CDKN2C,CDKN2C
ENSG00000152766.6,0.00072093424,0.0011670045,ENSG00000152766,ANKRD22,ANKRD22
ENSG00000178999.13,0.0007205746,0.00086694444,ENSG00000178999,AURKB,AURKB
ENSG00000175264.8,0.0007203411,0.0010105592,ENSG00000175264,CHST1,CHST1
ENSG00000175445.17,0.0007188568,0.0012328211,ENSG00000175445,LPL,LPL
ENSG00000010282.15,0.00071560626,0.0014429659,ENSG00000010282,HHATL,HHATL
ENSG00000121871.4,0.0007068476,0.0011200518,ENSG00000121871,SLITRK3,SLITRK3
ENSG00000170345.10,0.00070677535,0.0012664972,ENSG00000170345,FOS,FOS
ENSG00000258636.2,0.0007064464,0.0009642274,ENSG00000258636,AL121821.2,AL121821.2
ENSG00000112333.12,0.00070365326,0.0011285952,ENSG00000112333,NR2E1,NR2E1
ENSG00000233913.7,0.00070250884,0.001150404,ENSG00000233913,RPL10P9,RPL10P9
ENSG00000185904.12,0.00070131756,0.0008459996,ENSG00000185904,LINC00839,LINC00839
ENSG00000145242.13,0.0007012193,0.0011732526,ENSG00000145242,EPHA5,EPHA5
ENSG00000104313.20,0.0006994708,0.0009633686,ENSG00000104313,EYA1,EYA1
ENSG00000138771.16,0.00069900736,0.0011619477,ENSG00000138771,SHROOM3,SHROOM3
ENSG00000143631.11,0.0006987307,0.0009435352,ENSG00000143631,FLG,FLG
ENSG00000185274.12,0.00069623435,0.001220026,ENSG00000185274,GALNT17,GALNT17
ENSG00000180914.10,0.000695682,0.0011421661,ENSG00000180914,OXTR,OXTR
ENSG00000189212.12,0.0006955864,0.0010292417,ENSG00000189212,DPY19L2P1,DPY19L2P1
ENSG00000154645.14,0.0006867932,0.00078963855,ENSG00000154645,CHODL,CHODL
ENSG00000090382.7,0.00068229844,0.0011274971,ENSG00000090382,LYZ,LYZ
ENSG00000164100.9,0.0006791615,0.0008471226,ENSG00000164100,NDST3,NDST3
ENSG00000088320.4,0.000679089,0.001467789,ENSG00000088320,REM1,REM1
ENSG00000196091.15,0.00067864486,0.00096446683,ENSG00000196091,MYBPC1,MYBPC1
ENSG00000136689.19,0.00067414297,0.0014238508,ENSG00000136689,IL1RN,IL1RN
ENSG00000266524.3,0.0006738246,0.0011755738,ENSG00000266524,GDF10,GDF10
ENSG00000174371.17,0.0006735897,0.0008618446,ENSG00000174371,EXO1,EXO1
ENSG00000145386.11,0.0006735327,0.0007649461,ENSG00000145386,CCNA2,CCNA2
ENSG00000253305.2,0.0006710618,0.001045751,ENSG00000253305,PCDHGB6,PCDHGB6
ENSG00000004776.13,0.0006698842,0.0012169433,ENSG00000004776,HSPB6,HSPB6
ENSG00000135218.19,0.00066947314,0.0011531182,ENSG00000135218,CD36,CD36
ENSG00000007968.7,0.00066722534,0.0008167938,ENSG00000007968,E2F2,E2F2
ENSG00000166159.11,0.0006645455,0.0012977261,ENSG00000166159,LRTM2,LRTM2
ENSG00000206172.8,0.00066427607,0.0010553017,ENSG00000206172,HBA1,HBA1
ENSG00000254122.3,0.0006638772,0.0011074755,ENSG00000254122,PCDHGB7,PCDHGB7
ENSG00000152672.8,0.00066379353,0.0012990413,ENSG00000152672,CLEC4F,CLEC4F
ENSG00000211448.13,0.00066316046,0.0011367109,ENSG00000211448,DIO2,DIO2
ENSG00000169313.10,0.00066233077,0.0010797131,ENSG00000169313,P2RY12,P2RY12
ENSG00000261451.1,0.00066230906,0.0009937071,ENSG00000261451,AC104964.2,AC104964.2
ENSG00000137142.5,0.0006618768,0.0011889256,ENSG00000137142,IGFBPL1,IGFBPL1
ENSG00000121905.10,0.0006617845,0.0012004699,ENSG00000121905,HPCA,HPCA
ENSG00000112742.10,0.00066027534,0.00080954167,ENSG00000112742,TTK,TTK
ENSG00000185008.17,0.00065974635,0.0009032104,ENSG00000185008,ROBO2,ROBO2
ENSG00000070159.14,0.0006580351,0.0010430058,ENSG00000070159,PTPN3,PTPN3
ENSG00000115163.15,0.00065755163,0.00066505413,ENSG00000115163,CENPA,CENPA
ENSG00000131080.15,0.00065499987,0.0008466904,ENSG00000131080,EDA2R,EDA2R
ENSG00000203710.12,0.000654896,0.0014034074,ENSG00000203710,CR1,CR1
ENSG00000214548.18,0.0006546836,0.0011269108,ENSG00000214548,MEG3,MEG3
ENSG00000168843.14,0.00065464794,0.001060654,ENSG00000168843,FSTL5,FSTL5
ENSG00000204956.5,0.0006536325,0.0012264719,ENSG00000204956,PCDHGA1,PCDHGA1
ENSG00000106236.4,0.0006502163,0.0010716629,ENSG00000106236,NPTX2,NPTX2
ENSG00000245694.10,0.00064959266,0.0010253985,ENSG00000245694,CRNDE,CRNDE
ENSG00000075429.9,0.00064868014,0.0009336551,ENSG00000075429,CACNG5,CACNG5
ENSG00000139329.5,0.00064844446,0.0009292933,ENSG00000139329,LUM,LUM
ENSG00000287158.1,0.000645791,0.0009809425,ENSG00000287158,AC117464.1,AC117464.1
ENSG00000167779.9,0.0006455034,0.0016345596,ENSG00000167779,IGFBP6,IGFBP6
ENSG00000283632.4,0.0006451758,0.001908071,ENSG00000283632,EXOC3L2,EXOC3L2
ENSG00000143333.7,0.00064178323,0.00083183916,ENSG00000143333,RGS16,RGS16
ENSG00000147256.12,0.0006417592,0.0009183029,ENSG00000147256,ARHGAP36,ARHGAP36
ENSG00000173404.5,0.0006410456,0.0011119796,ENSG00000173404,INSM1,INSM1
ENSG00000198785.7,0.0006393731,0.0010330321,ENSG00000198785,GRIN3A,GRIN3A
ENSG00000183960.9,0.0006390127,0.0010978442,ENSG00000183960,KCNH8,KCNH8
ENSG00000231991.4,0.00063794333,0.0010232392,ENSG00000231991,ANXA2P2,ANXA2P2
ENSG00000076344.16,0.0006369446,0.0010516366,ENSG00000076344,RGS11,RGS11
ENSG00000196090.12,0.0006267434,0.0009060079,ENSG00000196090,PTPRT,PTPRT
ENSG00000196136.18,0.0006254374,0.0008131643,ENSG00000196136,SERPINA3,SERPINA3
ENSG00000232629.9,0.000624993,0.0014452683,ENSG00000232629,HLA-DQB2,HLA-DQB2
ENSG00000152049.6,0.0006237485,0.0009951273,ENSG00000152049,KCNE4,KCNE4
ENSG00000143858.12,0.00062351575,0.00094660214,ENSG00000143858,SYT2,SYT2
ENSG00000088325.16,0.00062292494,0.0008037252,ENSG00000088325,TPX2,TPX2
ENSG00000198695.2,0.00062240683,0.0008475897,ENSG00000198695,MT-ND6,MT-ND6
ENSG00000141433.13,0.0006199498,0.0009564403,ENSG00000141433,ADCYAP1,ADCYAP1
ENSG00000089127.14,0.00061919395,0.00094193144,ENSG00000089127,OAS1,OAS1
ENSG00000138135.7,0.0006187574,0.00085773016,ENSG00000138135,CH25H,CH25H
ENSG00000101198.15,0.0006180519,0.0009842818,ENSG00000101198,NKAIN4,NKAIN4
ENSG00000137573.14,0.000616417,0.0010881993,ENSG00000137573,SULF1,SULF1
ENSG00000276168.1,0.0006138169,0.00070906966,ENSG00000276168,RN7SL1,RN7SL1
ENSG00000277632.2,0.0006134494,0.0011950219,ENSG00000277632,CCL3,CCL3
ENSG00000165457.14,0.0006132936,0.0011451545,ENSG00000165457,FOLR2,FOLR2
ENSG00000260314.3,0.0006132219,0.0009961277,ENSG00000260314,MRC1,MRC1
ENSG00000145423.5,0.00061092334,0.0009213618,ENSG00000145423,SFRP2,SFRP2
ENSG00000102575.13,0.000610806,0.0014902046,ENSG00000102575,ACP5,ACP5
ENSG00000198744.5,0.0006100079,0.0010863454,ENSG00000198744,MTCO3P12,MTCO3P12
ENSG00000140873.16,0.00060996896,0.0010476041,ENSG00000140873,ADAMTS18,ADAMTS18
ENSG00000236279.7,0.0006080679,0.0008468357,ENSG00000236279,CLEC2L,CLEC2L
ENSG00000126709.15,0.0006059421,0.001228573,ENSG00000126709,IFI6,IFI6
ENSG00000175267.15,0.00060551736,0.0009722984,ENSG00000175267,VWA3A,VWA3A
ENSG00000179344.16,0.0006039681,0.0014326939,ENSG00000179344,HLA-DQB1,HLA-DQB1
ENSG00000108231.14,0.00060375984,0.0010590655,ENSG00000108231,LGI1,LGI1
ENSG00000130707.18,0.0006014423,0.0009477851,ENSG00000130707,ASS1,ASS1
ENSG00000100985.7,0.00060056517,0.0021487763,ENSG00000100985,MMP9,MMP9
ENSG00000121933.19,0.00060023664,0.00097585144,ENSG00000121933,TMIGD3,TMIGD3
ENSG00000173452.14,0.0005994575,0.00095953734,ENSG00000173452,TMEM196,TMEM196
ENSG00000258548.6,0.00059657823,0.0010457787,ENSG00000258548,LINC00645,LINC00645
ENSG00000136235.17,0.0005957295,0.0012732636,ENSG00000136235,GPNMB,GPNMB
ENSG00000109674.4,0.0005949242,0.0010749495,ENSG00000109674,NEIL3,NEIL3
ENSG00000146147.15,0.00059411424,0.0008586965,ENSG00000146147,MLIP,MLIP
ENSG00000204967.12,0.00059381925,0.0008332598,ENSG00000204967,PCDHA4,PCDHA4
ENSG00000135549.15,0.00059380627,0.0009010976,ENSG00000135549,PKIB,PKIB
ENSG00000286619.1,0.0005933913,0.00083905377,ENSG00000286619,AC119673.2,AC119673.2
ENSG00000225746.13,0.0005932625,0.0010777363,ENSG00000225746,MEG8,MEG8
ENSG00000160963.14,0.0005925714,0.0009445437,ENSG00000160963,COL26A1,COL26A1
ENSG00000089685.15,0.0005922375,0.0006958627,ENSG00000089685,BIRC5,BIRC5
ENSG00000051341.14,0.000591606,0.00066525745,ENSG00000051341,POLQ,POLQ
ENSG00000180616.9,0.00059151376,0.0012836631,ENSG00000180616,SSTR2,SSTR2
ENSG00000140090.18,0.00059064734,0.00074134616,ENSG00000140090,SLC24A4,SLC24A4
ENSG00000145147.20,0.00059064524,0.0008131136,ENSG00000145147,SLIT2,SLIT2
ENSG00000149418.11,0.0005880016,0.00089560857,ENSG00000149418,ST14,ST14
