feature,mean_abs_ig_G2,std_abs_ig_G2,mean_abs_ig_G3,std_abs_ig_G3,mean_abs_ig_G4,std_abs_ig_G4,ensembl,gene_name,label
ENSG00000276168.1,0.0005816766,0.00077525596,0.00061088975,0.00073660834,0.0006328365,0.0006534342,ENSG00000276168,RN7SL1,RN7SL1
ENSG00000129824.16,0.0015296034,0.0012348623,0.0017896616,0.0018118786,0.00026378958,0.00020775816,ENSG00000129824,RPS4Y1,RPS4Y1
ENSG00000133048.13,0.000878776,0.0008564574,0.0005611048,0.0008127229,0.0001558602,0.00018836098,ENSG00000133048,CHI3L1,CHI3L1
ENSG00000012223.13,0.00057714916,0.0007623818,0.00055779313,0.00071969413,0.0002752565,0.0003483473,ENSG00000012223,LTF,LTF
ENSG00000198695.2,0.00060957775,0.0010095696,0.0005049819,0.0005938268,0.00069305324,0.0008608598,ENSG00000198695,MT-ND6,MT-ND6
ENSG00000228253.1,0.00045008626,0.00043979022,0.000518019,0.00044823167,0.0003212344,0.0003462708,ENSG00000228253,MT-ATP8,MT-ATP8
ENSG00000198763.3,0.0006459241,0.00077379064,0.0005186134,0.000605944,0.00031700206,0.00038334454,ENSG00000198763,MT-ND2,MT-ND2
ENSG00000133110.15,0.00053589774,0.0009566459,0.00037423638,0.00046118992,0.00015588116,0.00017211649,ENSG00000133110,POSTN,POSTN
ENSG00000198899.2,0.0005221566,0.00090227666,0.00027443064,0.00029504337,0.0005149985,0.0006060625,ENSG00000198899,MT-ATP6,MT-ATP6
ENSG00000248527.1,0.00057437917,0.00085132656,0.00039609786,0.00033724448,0.00036956504,0.00042936453,ENSG00000248527,MTATP6P1,MTATP6P1
ENSG00000198888.2,0.00033162854,0.0004034878,0.00027933653,0.00031228352,0.0003841257,0.00039703806,ENSG00000198888,MT-ND1,MT-ND1
ENSG00000276966.2,0.00040602696,0.0006077267,0.00034547987,0.00040006326,0.000556723,0.00059405394,ENSG00000276966,H4C5,H4C5
ENSG00000198886.2,0.00046116445,0.0007899088,0.0003197969,0.00030216912,0.00037580036,0.00039259996,ENSG00000198886,MT-ND4,MT-ND4
ENSG00000198840.2,0.0005919356,0.00107097,0.0004372382,0.00040612163,0.00041096404,0.00058597716,ENSG00000198840,MT-ND3,MT-ND3
ENSG00000212907.2,0.00046966685,0.00046622544,0.0003120917,0.00038981414,0.0003856483,0.0005978524,ENSG00000212907,MT-ND4L,MT-ND4L
