"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",0.000310205769827319,0.103538412496015,0.478888452689915,1.99394908504614,2,34,"PDGFD;MGST1;GPR37L1;BDKRB2;CD36;GPR37;PENK;SCN7A;HGF;NPPA;CYP1B1;DDR2;FOS"
"GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS",0.000318775900541919,0.103538412496015,0.533884210176203,2.06920125022091,2,25,"PDGFD;MGST1;GPR37L1;CD36;GPR37;PENK;HGF;NPPA;CYP1B1;DDR2;FOS"
"GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE",0.000203500203500203,0.103538412496015,0.467719761957663,2.037315266673,1,43,"PDGFD;NRG1;ANGPT1;CD36;MARCO;ERBB4;ICAM1;ITGB3;C5AR1;CCL3;PLA2G2A;DDR2;NPNT;AKAP12;FGFR3;ACTA2;HTR2A;RAMP3;PLA2G5;EGFR;IL1B;MTURN"
"GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE",0.000100200400801603,0.103538412496015,0.396453680176229,1.90050357214938,0,80,"PDGFD;EDN3;NRG1;ANGPT1;GPR37L1;CD36;MARCO;ERBB4;GPR37;ICAM1;ITGB3;C5AR1;HGF;FCGR2B;THBS1;CCL3;SEMA3A;PLA2G2A;DDR2;NPNT;TNFRSF19;AKAP12;FGFR3;RIT2;ACTA2;HTR2A;RAMP3;PLA2G5;EGFR;DIRAS2;EDA2R;IL1B;TGFB2;MTURN"
"GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",0.000241779497098646,0.103538412496015,0.693201884236802,2.07544306330701,1,10,"SCNN1B;AZGP1;CD36;C5AR1;SLC24A4;OR4N2;GNAL"
"GOBP_MAINTENANCE_OF_LOCATION",0.00064550833781603,0.123791102514507,0.528049365394753,2.00086597716849,5,23,"HAP1;MDFI;ITGB3;FBN2;PDIA2;ANK3;CCL3;RIT2;HTR2A;APLNR;FLNA;CXCL10;RYR2"
"GOBP_MUSCLE_SYSTEM_PROCESS",0.000802246289610911,0.123791102514507,0.371280780828098,1.76586334614935,7,76,"EDN3;SCNN1B;KCNE4;NOS1;GJA1;BDKRB2;RGS4;SCN7A;COL14A1;MYBPH;MLIP;KCNE5;PI16;SPX;NPPA;SCN2B;DOCK5;NPNT;KCNIP1;KCNJ3;ATP8A2;CAMK2B;ACTA2;HTR2A;APLNR;CHRM3;FLNA;SLN;IL1B;STAC2;RYR2"
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION",0.000838486531810083,0.123791102514507,0.483051187174595,1.93787390149248,7,29,"PDGFD;EDN3;CCL4;P2RY12;ICAM1;ITGB3;C5AR1;THBS1;CCL3;PGF;CCL2;CXCL10;LGALS3;TREM2;MMP14;RARRES2"
"GOBP_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION",0.000552547242789258,0.123791102514507,0.601676493578973,2.14587654057372,4,18,"PDGFD;CCL4;P2RY12;ITGB3;C5AR1;THBS1;CCL3;CCL2;CXCL10;LGALS3;TREM2;MMP14;RARRES2"
"GOBP_REGULATION_OF_LOCOMOTION",0.0006999300069993,0.123791102514507,0.319471488084718,1.66035949474362,6,169,"PDGFD;CCL3L3;EDN3;NEXMIF;CCL4;P2RY12;SFRP1;GJA1;ANGPT1;DSCAM;TBX5;ERBB4;CCL4L2;ICAM1;LGR6;ITGB3;SLIT1;C5AR1;FBN2;HGF;EPB41L4B;BST2;THBS1;ROBO2;CCN4;CCL3;PGF;SEMA3A;CYP1B1;DDR2;DOCK5;LAMB1;SEMA3D;AKAP12;DPEP1;SFRP2;CAMSAP3;CAMK2B;UNC5C;ACTA2;NR2E1;ALOX15B;DCN;GRIA1;FERMT1;NTNG2;FLNA;EGFR;IL1B;SDC4;CCL2;CXCL10;TBR1;TGFB2;COL1A1;NGFR;ANGPT2;FN1;SCG2;SEMA6B;LGALS3;ATP1B2;SULF1;TREM2;MMP14;SPOCK3;RARRES2"
