enc_units1,enc_units2,latent_dim,dec_units1,dec_units2,mse,mae,rmse
512,0,64,128,0,0.2531361951106823,0.3618866474200917,0.5031264206048837
512,0,64,256,0,0.2537136430223456,0.36283923516103095,0.5036999533674245
256,0,64,256,0,0.2576031417795113,0.3650383445010056,0.5075461966949524
256,0,64,128,0,0.26013055420768344,0.3675173306340058,0.5100299542259096
512,0,32,256,0,0.2626180766839157,0.36948932973911214,0.5124627563871502
512,0,32,128,0,0.2691524292646361,0.37373185060299513,0.5187990258902151
512,256,64,256,0,0.2766916274400114,0.37769487019416215,0.5260148547712425
512,256,32,256,0,0.27804162285715245,0.37861029509101785,0.5272965227053488
512,256,64,128,0,0.27987828459117087,0.37937994419613663,0.5290352394606345
256,256,64,256,0,0.28093539992274363,0.3806180021760447,0.5300333951014253
256,256,64,128,0,0.2835263140279725,0.3822690246276677,0.5324718903641511
512,128,64,256,0,0.28437944283595473,0.38300466028229585,0.5332723908435113
256,128,64,256,0,0.2857926057026969,0.3842754950133171,0.5345957404457099
256,256,32,256,0,0.2866143949935189,0.38518353678588746,0.5353637968648225
512,128,32,256,0,0.2877010994870159,0.38525970173112883,0.536377758195673
512,128,64,128,0,0.2878921422989351,0.38556481669416354,0.5365558147098353
512,0,16,128,0,0.29027255586735845,0.3887100595332696,0.5387694830512939
256,128,32,256,0,0.2903725994770291,0.38666095133297707,0.5388623195928892
512,0,16,256,0,0.2907874500715285,0.38916055713395215,0.5392471141058879
512,128,32,128,0,0.2910173217044347,0.38771131505408724,0.5394602132728925
256,0,16,128,0,0.2919447478905513,0.3901383529116013,0.5403191167176591
256,128,64,128,0,0.2933979837081104,0.38941264663644276,0.541662241353512
512,256,16,256,0,0.29348325836685785,0.3888557805113493,0.5417409513474662
512,128,16,256,0,0.2957253559310942,0.39118273491540095,0.5438063588549643
512,256,16,128,0,0.2968763010423977,0.39181028937637946,0.544863561859662
256,256,16,128,0,0.2971016489336944,0.39214552562832056,0.5450703155866171
256,0,64,128,256,0.29775777544013393,0.3948046442864467,0.5456718569251432
256,128,16,256,0,0.300963297545788,0.39414786679424196,0.5486012190524079
512,256,64,128,256,0.31477878452387165,0.4034743059152949,0.5610514989944075
256,0,16,128,256,0.3159141761590232,0.4072463682669113,0.5620624308375567
512,0,16,256,256,0.3159312132597035,0.4048206238647007,0.5620775865124881
512,256,64,256,256,0.3161306064367647,0.40404775918108965,0.562254930113347
512,128,64,128,256,0.3198338264616222,0.40580807113327555,0.5655385278313249
512,128,32,128,256,0.3200665457237485,0.4066666466990038,0.5657442405572932
256,128,32,256,256,0.32042678033374283,0.4068911066213532,0.5660625233432636
256,256,64,256,256,0.3219206829223542,0.4077766907605583,0.5673805450686111
256,256,64,128,256,0.32322521970376256,0.4084343049845029,0.5685289963614544
256,128,32,128,256,0.3241692218041196,0.41078087573380156,0.5693586056292814
256,256,16,128,256,0.324401864490551,0.40995596189536543,0.5695628714115334
256,128,16,256,256,0.3244097374670565,0.4099040224575018,0.5695697827896565
256,256,16,256,256,0.32610926138840896,0.4113220834377758,0.5710597704167305
512,128,16,128,256,0.3282722063283214,0.4124105246281357,0.5729504396789669
256,128,16,128,256,0.33323354320339277,0.416830625243658,0.5772638419331257
