latent_dim,lr,batch_size,drop1,mse,mae,rmse
96,0.001,32,0.2,0.2401830298542816,0.35067052065814197,0.49008471701766176
128,0.0005,32,0.2,0.24035524161141614,0.3513393223081354,0.49026038144175604
128,0.001,32,0.0,0.24386529733842816,0.35458572900574115,0.49382719380207096
128,0.0005,32,0.0,0.24465633875263604,0.35526574524552795,0.4946274747248034
64,0.001,32,0.2,0.2460862043211656,0.3559889857010194,0.49607076543691386
64,0.0005,32,0.2,0.24652012668509274,0.3559848818461277,0.49650793214720423
96,0.001,32,0.0,0.24926910572920608,0.35963786392696545,0.49926857074044434
128,0.0005,16,0.2,0.2496971208387298,0.3585960187077941,0.49969702904733165
96,0.0005,32,0.5,0.24994349569962185,0.35726751729975537,0.49994349250652503
64,0.001,32,0.0,0.2506247243986569,0.360669803769062,0.5006243346049579
96,0.0005,16,0.2,0.2510507692694864,0.3599558076654525,0.5010496674676936
96,0.001,16,0.2,0.25210951060728276,0.36104843935508263,0.5021050792486397
64,0.0005,32,0.5,0.2524070851187737,0.359038164196761,0.5024013187868576
128,0.0005,32,0.5,0.2538801470531768,0.36021353476292245,0.5038652072262747
128,0.001,16,0.0,0.2539309626191652,0.3644735217114938,0.5039156304572872
64,0.0005,32,0.0,0.25546794622384,0.36397452632509963,0.5054383703517571
64,0.0005,16,0.0,0.2619251322192257,0.3703068520551486,0.5117862173009602
64,0.001,16,0.0,0.26227801191554667,0.3705294744473218,0.5121308542897476
64,0.0001,32,0.2,0.2632865364727656,0.3690628133939214,0.5131145451775516
96,0.0005,16,0.0,0.26340487541407975,0.37168209878721237,0.5132298465737157
96,0.0001,32,0.2,0.26381203239855155,0.3700052536144076,0.5136263548519989
128,0.0001,32,0.5,0.2650069370858895,0.36968045427118135,0.5147882448987054
64,0.0001,16,0.2,0.2709428645602038,0.3757946775513787,0.5205217234277584
64,0.0001,32,0.5,0.2715813740659197,0.3743715485256691,0.5211346985817771
96,0.0005,16,0.5,0.2729436729055202,0.37587156041745456,0.5224401141810612
96,0.0001,16,0.2,0.27318438191906036,0.37811908036062924,0.5226704333698821
96,0.001,16,0.5,0.2736680906485285,0.377139031958239,0.5231329569512214
64,0.0001,16,0.5,0.27823838981277005,0.3795701101591615,0.5274830706409165
128,0.0005,8,0.0,0.2796279882373166,0.3866005472401004,0.5287986273027915
128,0.0005,8,0.2,0.2812270325993645,0.3865568943043978,0.5303084315748379
96,0.0005,8,0.2,0.2820051687770905,0.38676375229804977,0.5310415885569514
64,0.0005,8,0.2,0.283424815188416,0.3873189232881406,0.5323765727268772
128,0.001,8,0.2,0.28710222622770704,0.3913680722890157,0.5358192103944268
96,0.0005,8,0.0,0.2885417792832532,0.39411225352072377,0.5371608504752121
64,0.0005,8,0.0,0.2886004125778608,0.3929062303149276,0.5372154247393319
96,0.0001,8,0.2,0.2889169949815485,0.3923812795158328,0.5375099952387383
128,0.001,8,0.0,0.289869913636392,0.3929897774816158,0.5383956850090758
96,0.001,8,0.0,0.294483276500878,0.3976449429635641,0.5426631335376285
64,0.0001,16,0.0,0.30012411166387026,0.4003454581398344,0.5478358437195127
128,0.0001,32,0.0,0.30328275424425966,0.40293353768340395,0.5507111350283919
96,0.0001,16,0.0,0.30440342729689823,0.40418570608029514,0.5517276749419937
64,0.0001,8,0.2,0.3044244797834987,0.402201244247591,0.5517467533058067
64,0.0005,8,0.5,0.33387590039971315,0.4265676911081407,0.5778199550030383
128,0.0001,8,0.5,0.33591168405541305,0.4263828742531815,0.579578885101427
128,0.0005,8,0.5,0.3367448761341304,0.4284959331836047,0.580297230851682
64,0.001,8,0.5,0.33783074455424467,0.4285041128022199,0.5812320918137992
96,0.001,8,0.5,0.3392729161076886,0.4298186503128175,0.5824713865141262
64,0.0001,8,0.5,0.35167961201214165,0.4365608447374603,0.5930258105783774
